MONTH,BOROUGH,COMMUNITY DISTRICT,LOCATION TYPE,ORGANIC TONS,BOROUGH_ID
2025 / 07,,10,School,42.4,
2025 / 07,Queens,11,Residential,422.7,
2025 / 07,Queens,12,Residential,505.2,
2025 / 07,,12,School,28.9,
2025 / 07,Queens,13,Residential,337.7,
2025 / 07,,13,School,11.4,
2025 / 07,Queens,14,Residential,139.1,
2025 / 06,Queens,1,Residential,286.8,
2025 / 06,,1,School,113.6,
2025 / 06,Queens,2,Residential,198.6,
2025 / 06,,2,School,179.4,
2025 / 06,Queens,3,Residential,179.7,
2025 / 06,Queens,4,Residential,177.8,
2025 / 06,Queens,5,Residential,419.1,
2025 / 06,,5,School,128.6,
2025 / 06,Queens,6,Residential,201.9,
2025 / 06,Queens,7,Residential,376.4,
2025 / 06,,7,School,86.9,
2025 / 06,Queens,8,Residential,250.3,
2025 / 06,Queens,9,Residential,316,
2025 / 06,,9,School,114.5,
2025 / 06,Queens,10,Residential,257.4,
2025 / 06,,10,School,68.9,
2025 / 06,Queens,11,Residential,413.4,
2025 / 06,,11,School,61.8,
2025 / 06,Queens,12,Residential,496.7,4
2025 / 06,,12,School,65.4,
2025 / 06,Queens,13,Residential,375.5,4
2025 / 06,,13,School,57.3,
2025 / 05,Queens,1,Residential,287.1,4
2025 / 05,,1,School,167.7,
2025 / 05,Queens,2,Residential,209.9,4
2025 / 05,,2,School,223.8,
2025 / 05,Queens,3,Residential,202.3,4
2025 / 05,Queens,4,Residential,191,4
2025 / 05,Queens,5,Residential,454.7,4
2025 / 05,,5,School,137.3,
2025 / 05,Queens,6,Residential,226.3,4
2025 / 05,Queens,7,Residential,493.8,4
2025 / 05,,7,School,110.4,
2025 / 05,Queens,8,Residential,329.8,4
2025 / 05,Queens,9,Residential,343.6,4
2025 / 05,,9,School,149.4,
2025 / 05,Queens,10,Residential,324.5,4
2025 / 05,,10,School,89,
2025 / 05,Queens,11,Residential,473,4
2025 / 05,,11,School,94.7,
2025 / 05,Queens,12,Residential,547.6,4
2025 / 05,,12,School,89.5,
2025 / 05,Queens,13,Residential,452.6,4
2025 / 05,,13,School,78.9,
2025 / 05,Queens,14,Residential,154.2,4
2025 / 04,Queens,1,Residential,206.1,4
2025 / 04,,1,School,148.7,
2025 / 04,Queens,2,Residential,153.1,4
2025 / 04,,2,School,184.2,
2025 / 04,Queens,4,Residential,141.1,4
2025 / 04,Queens,5,Residential,353.5,4
2025 / 04,,5,School,109.6,
2025 / 04,Queens,6,Residential,146,4
2025 / 04,Queens,7,Residential,377.8,4
2025 / 04,,7,School,111.9,
2025 / 04,Queens,8,Residential,244.9,4
2025 / 04,Queens,9,Residential,256.7,4
2025 / 04,,9,School,116.4,
2025 / 04,Queens,10,Residential,235.2,4
2025 / 04,,10,School,74.4,
2025 / 04,Queens,11,Residential,326.7,4
2025 / 04,,11,School,77.3,
2025 / 04,Queens,12,Residential,338.4,4
2025 / 04,,12,School,75,
2025 / 04,Queens,13,Residential,362.6,4
2025 / 04,,13,School,57.3,
2025 / 04,Queens,14,Residential,104.3,4
2025 / 03,Queens,1,Residential,83.2,4
2025 / 03,,1,School,200.8,
2025 / 03,Queens,2,Residential,45,4
2025 / 03,,2,School,2043,
2025 / 03,Queens,3,Residential,43.1,4
2025 / 03,Queens,4,Residential,24.2,4
2025 / 03,Queens,5,Residential,78.1,4
2025 / 03,,5,School,120.8,
2025 / 03,Queens,6,Residential,62.9,4
2025 / 03,Queens,7,Residential,73.9,4
2025 / 03,,7,School,155.6,
2025 / 03,Queens,8,Residential,83.1,4
2025 / 03,Queens,9,Residential,80.6,4
2025 / 03,,9,School,106.4,
2025 / 03,Queens,10,Residential,24.7,4
2025 / 03,,10,School,80.8,
2025 / 03,Queens,11,Residential,76.9,4
2025 / 03,,11,School,87.3,
2025 / 03,Queens,12,Residential,160.2,4
2025 / 03,,12,School,86.6,
2025 / 03,Queens,13,Residential,66.2,4
2025 / 03,,13,School,66.9,
2025 / 03,Queens,14,Residential,42.8,4
2025 / 02,Queens,1,Residential,49.5,4
2025 / 02,,1,School,173.2,
2025 / 02,Queens,2,Residential,32.3,4
2025 / 02,,2,School,162.7,
2025 / 02,Queens,3,Residential,34,4
2025 / 02,Queens,4,Residential,18.5,4
2025 / 02,Queens,5,Residential,44.9,4
2025 / 02,,5,School,84.8,
2025 / 02,Queens,6,Residential,37.8,4
2025 / 02,Queens,7,Residential,37.7,4
2025 / 02,,7,School,116.2,
2025 / 02,Queens,8,Residential,49.5,4
2025 / 02,Queens,9,Residential,58.2,4
2025 / 02,,9,School,71.3,
2025 / 02,Queens,10,Residential,26.6,4
2025 / 02,,10,School,65.2,
2025 / 02,Queens,11,Residential,39.9,4
2025 / 02,,11,School,68.3,
2025 / 02,Queens,12,Residential,75,4
2025 / 02,,12,School,66.6,
2025 / 02,Queens,13,Residential,53,4
2025 / 02,,13,School,51.3,
2025 / 02,Queens,14,Residential,30.2,4
2025 / 01,Queens,1,Residential,90.2,4
2025 / 01,,1,School,214,
2025 / 01,Queens,2,Residential,51.4,4
2025 / 01,,2,School,208.5,
2025 / 01,Queens,3,Residential,50.3,4
2025 / 01,Queens,4,Residential,26.7,4
2025 / 01,Queens,5,Residential,76.3,4
2025 / 01,,5,School,112.9,
2025 / 01,Queens,6,Residential,57.1,4
2025 / 01,Queens,7,Residential,54.3,4
2025 / 01,,7,School,148.4,
2025 / 01,Queens,8,Residential,70.7,4
2025 / 01,Queens,9,Residential,68.6,4
2025 / 01,,9,School,107,
2025 / 01,Queens,10,Residential,31,4
2025 / 01,,10,School,80.6,
2025 / 01,Queens,11,Residential,63.5,4
2025 / 01,,11,School,92,
2025 / 01,Queens,12,Residential,119.2,4
2025 / 01,,12,School,82.4,
2025 / 01,Queens,13,Residential,60.4,4
2025 / 01,,13,School,60.2,
2025 / 01,Queens,14,Residential,44.2,4
2024 / 12,Queens,1,Residential,97.5,4
2024 / 12,,1,School,183.2,
2024 / 12,Queens,2,Residential,51,4
2024 / 12,,2,School,165.3,
2024 / 12,Queens,3,Residential,55.1,4
2024 / 12,Queens,4,Residential,31.7,4
2024 / 12,Queens,5,Residential,100.2,4
2024 / 12,,5,School,84.1,
2024 / 12,Queens,6,Residential,97.7,4
2024 / 12,Queens,7,Residential,105.2,4
2024 / 12,,7,School,114.7,
2024 / 12,Queens,8,Residential,130.9,4
2024 / 12,Queens,9,Residential,115.5,4
2024 / 12,,9,School,93.7,
2024 / 12,Queens,10,Residential,42.3,4
2024 / 12,,10,School,66.2,
2024 / 12,Queens,11,Residential,123.4,4
2024 / 12,,11,School,75,
2024 / 12,Queens,12,Residential,264.9,4
2024 / 12,,12,School,79,
2024 / 12,Queens,13,Residential,90.2,4
2024 / 12,,13,School,50,
2024 / 12,Queens,14,Residential,45.1,4
2024 / 11,Queens,1,Residential,129.9,4
2024 / 11,,1,School,185.6,
2024 / 11,Queens,2,Residential,62.5,4
2024 / 11,,2,School,179.2,
2024 / 11,Queens,3,Residential,70.6,4
2024 / 11,Queens,4,Residential,41.1,4
2024 / 11,Queens,5,Residential,154,4
2024 / 11,,5,School,104.9,
2024 / 11,Queens,6,Residential,151.4,4
2024 / 11,Queens,7,Residential,193.7,4
2024 / 11,,7,School,114.8,
2024 / 11,Queens,8,Residential,177.1,4
2024 / 11,Queens,9,Residential,179.2,4
2024 / 11,,9,School,100.3,
2024 / 11,Queens,10,Residential,68.6,4
2024 / 11,,10,School,66.4,
2024 / 11,Queens,11,Residential,233.8,4
2024 / 11,,11,School,85,
2024 / 11,Queens,12,Residential,454.8,4
2024 / 11,,12,School,84.4,
2024 / 11,Queens,13,Residential,158,4
2024 / 11,,13,School,59.3,
2024 / 11,Queens,14,Residential,71.7,4
2024 / 10,Queens,1,Residential,91.4,4
2024 / 10,,1,School,231.7,
2024 / 10,Queens,2,Residential,43.3,4
2024 / 10,,2,School,224.6,
2024 / 10,Queens,3,Residential,45.1,4
2024 / 10,Queens,4,Residential,34.2,4
2024 / 10,Queens,5,Residential,103.8,4
2024 / 10,,5,School,126.4,
2024 / 10,Queens,6,Residential,89.9,4
2024 / 10,Queens,7,Residential,109.6,4
2024 / 10,,7,School,152.4,
2024 / 10,Queens,8,Residential,93.5,4
2024 / 10,Queens,9,Residential,119.1,4
2024 / 10,,9,School,130.2,
2024 / 10,Queens,10,Residential,42.7,4
2024 / 10,,10,School,95.7,
2024 / 10,Queens,11,Residential,115.1,4
2024 / 10,,11,School,105.7,
2024 / 10,Queens,12,Residential,288.1,4
2024 / 10,,12,School,117.7,
2024 / 10,Queens,13,Residential,90.3,4
2024 / 10,,13,School,75,
2024 / 10,Queens,14,Residential,61.3,4
2024 / 09,Queens,1,Residential,56.9,4
2024 / 09,,1,School,191.3,
2024 / 09,Queens,2,Residential,29.1,4
2024 / 09,,2,School,196.7,
2024 / 09,Queens,3,Residential,33.7,4
2024 / 09,Queens,4,Residential,25.3,4
2024 / 09,Queens,5,Residential,62,4
2024 / 09,,5,School,113.8,
2024 / 09,Queens,6,Residential,55.4,4
