MONTH,BOROUGH,COMMUNITYDISTRICT,RESORGANICSTONS,SCHOOLORGANICTONS,BOROUGH_ID
2024 / 08,Queens,4,30.8,,4
2024 / 08,Queens,5,69,56,4
2024 / 08,Queens,6,63.5,,4
2024 / 08,Queens,7,65.6,47.9,4
2024 / 08,Queens,8,75,,4
2024 / 08,Queens,9,89.9,,4
2024 / 08,Queens,10,31.6,21.2,4
2024 / 08,Queens,11,73,,4
2024 / 08,Queens,12,291.4,,4
2024 / 08,Queens,13,71,16.5,4
2024 / 08,Queens,14,70.8,,4
2024 / 07,Queens,1,94.3,77.5,4
2024 / 07,Queens,2,32.7,,4
2024 / 07,Queens,3,35,,4
2024 / 07,Queens,4,28.1,,4
2024 / 07,Queens,5,78.6,109.5,4
2024 / 07,Queens,6,52.7,,4
2024 / 07,Queens,7,70.6,89.9,4
2024 / 07,Queens,8,73.1,,4
2024 / 07,Queens,9,86,,4
2024 / 07,Queens,10,35.6,40,4
2024 / 07,Queens,11,71.2,,4
2024 / 07,Queens,12,249.5,,4
2024 / 07,Queens,13,93.4,36.7,4
2024 / 07,Queens,14,60.7,,4
2024 / 06,Queens,1,84.4,178.1,4
2024 / 06,Queens,2,37.5,160.6,4
2024 / 06,Queens,3,37.5,,4
2024 / 06,Queens,4,28.9,,4
2024 / 06,Queens,5,73,107.9,4
2024 / 06,Queens,6,63,,4
2024 / 06,Queens,7,77.6,139.9,4
2024 / 06,Queens,8,65.8,5.3,4
2024 / 06,Queens,9,98.7,90.7,4
2024 / 06,Queens,10,31.7,55.7,4
2024 / 06,Queens,11,79.5,58.1,4
2024 / 06,Queens,12,289.3,84.5,4
2024 / 06,Queens,13,85.5,42.2,4
2024 / 06,Queens,14,68,,4
2024 / 05,Queens,1,85.7,265.7,4
2024 / 05,Queens,2,39.8,239.2,4
2024 / 05,Queens,3,41.4,,4
2024 / 05,Queens,4,29.1,,4
2024 / 05,Queens,5,89.4,137.2,4
2024 / 05,Queens,6,70.3,,4
2024 / 05,Queens,7,101.7,199.9,4
2024 / 05,Queens,8,96.5,5.4,4
2024 / 05,Queens,9,96.8,137.7,4
2024 / 05,Queens,10,43.1,92.6,4
2024 / 05,Queens,11,100.1,91,4
2024 / 05,Queens,12,341.8,121.2,4
2024 / 05,Queens,13,91.9,65.3,4
2024 / 05,Queens,14,75.9,,4
2024 / 04,Queens,1,69.7,135.4,4
2024 / 04,Queens,2,35.5,143.8,4
2024 / 04,Queens,3,32.3,,4
2024 / 04,Queens,4,23.3,,4
2024 / 04,Queens,5,74.7,85.4,4
2024 / 04,Queens,6,45.7,,4
2024 / 04,Queens,7,73.4,114.8,4
2024 / 04,Queens,8,68,4.2,4
2024 / 04,Queens,9,81.7,88.2,4
2024 / 04,Queens,10,27.6,53.7,4
2024 / 04,Queens,11,72.2,53.5,4
2024 / 04,Queens,12,176,71.1,4
2024 / 04,Queens,13,73.6,35.3,4
2024 / 04,Queens,14,47.8,,4
2024 / 03,Queens,1,74.2,20.6,4
2024 / 03,Queens,2,32.5,241.3,4
2024 / 03,Queens,3,33.8,,4
2024 / 03,Queens,4,24.1,,4
2024 / 03,Queens,5,58.5,130,4
2024 / 03,Queens,6,45.2,,4
2024 / 03,Queens,7,70.4,173.6,4
2024 / 03,Queens,8,54.5,1.8,4
2024 / 03,Queens,9,78.2,131.8,4
2024 / 03,Queens,10,22.1,72,4
2024 / 03,Queens,11,68.2,71,4
2024 / 03,Queens,12,115.7,103.8,4
2024 / 03,Queens,13,53.1,50.5,4
2024 / 03,Queens,14,47.8,,4
2024 / 02,Queens,1,55.9,,4
2024 / 02,Queens,2,26.2,167.9,4
2024 / 02,Queens,3,26.8,,4
2024 / 02,Queens,4,17.1,,4
2024 / 02,Queens,5,40.3,94.3,4
2024 / 02,Queens,6,29.1,,4
2024 / 02,Queens,7,62.3,119.3,4
2024 / 02,Queens,8,58.2,1.4,4
2024 / 02,Queens,9,71.1,93,4
2024 / 02,Queens,10,37.1,56.2,4
2024 / 02,Queens,11,56,52.6,4
2024 / 02,Queens,12,93.2,76.2,4
2024 / 02,Queens,13,73.4,43,4
2024 / 02,Queens,14,35.1,,4
2024 / 01,Queens,1,93.9,,4
2024 / 01,Queens,2,49.7,226.1,4
2024 / 01,Queens,3,34.3,,4
2024 / 01,Queens,4,23.7,,4
2024 / 01,Queens,5,60.4,133.8,4
2024 / 01,Queens,6,50,,4
2024 / 01,Queens,7,86.7,122.5,4
2024 / 01,Queens,8,78.7,,4
2024 / 01,Queens,9,105.2,127.5,4
2024 / 01,Queens,10,75.6,57.2,4
2024 / 01,Queens,11,87.9,76.9,4
2024 / 01,Queens,12,132.3,80.7,4
2024 / 01,Queens,13,93.3,46.5,4
2024 / 01,Queens,14,71.3,,4
2023 / 12,Queens,1,97.6,,4
2023 / 12,Queens,2,42.3,178.6,4
2023 / 12,Queens,3,38.9,,4
2023 / 12,Queens,4,27.1,,4
2023 / 12,Queens,5,87.5,112.5,4
2023 / 12,Queens,6,93.1,,4
2023 / 12,Queens,7,125.1,,4
2023 / 12,Queens,8,97.2,,4
2023 / 12,Queens,9,121.9,107.2,4
2023 / 12,Queens,10,62.8,,4
2023 / 12,Queens,11,160.1,73,4
2023 / 12,Queens,12,321.1,,4
2023 / 12,Queens,13,120.7,,4
2023 / 12,Queens,14,51.4,,4
2023 / 11,Queens,1,112.9,,4
2023 / 11,Queens,2,50.3,206.3,4
2023 / 11,Queens,3,46.2,,4
