Alert ID,Event ID,Update Number,Date,Agency,Status Label,Affected,Header,Description
481383,235789,1,1/30/26,NYCT Subway,reroute | stops-skipped,N | Q | R,"Downtown R express from 34 St-Herald Sq to Canal St.
Downtown N/Q trains are rerouted via R line from Canal St to DeKalb Av.","What's Happening?
We're addressing a switch problem near Prince St.

You may experience a longer wait for a downtown R train while they share tracks with rerouted trains.

Boarding Change:
At Canal St, board downtown N/Q trains on the upper level (R/W train platform)."
481388,235789,2,1/30/26,NYCT Subway,reroute | stops-skipped | delays,N | Q | R,"Downtown N/Q express from 34 St-Herald Sq to Canal St.
Downtown Q trains are rerouted via N line from Canal St to DeKalb Av.","What's Happening?
We're addressing a switch problem near Prince St.

You may experience a longer wait for a Bay Ridge-95 St-bound R train while they share tracks with rerouted trains.

Boarding Change:
At Canal St, board downtown Q trains on the upper level (N train platform)."
481359,235779,0,1/30/26,NYCT Subway,reroute | delays,Q | R | W,"Downtown R trains are rerouted via the Q line from Canal St to DeKalb Av.

W trains are delayed in both directions.","What's Happening? 

We've requested EMS assistance for someone in need on a train at City Hall.

For service to/from bypassed stations, take an uptown R train. 

Expect delays in Q service while they share the tracks with rerouted trains."
481365,235779,1,1/30/26,NYCT Subway,delays,R | W,Downtown R W trains are running with delays after EMS assisted someone in need on a train at City Hall.,Downtown R trains have resumed making scheduled stops from Canal St to DeKalb Av.
481373,235765,2,1/30/26,NYCT Subway,delays,N | Q | R | W,Downtown N/Q/R/W trains are running with delays after we addressed a signal problem on the Manhattan Bridge.,Coney Island-Stillwell Av-bound N/Q trains have resumed making scheduled stops from Canal St to DeKalb Av.
481337,235765,1,1/30/26,NYCT Subway,delays,N | Q | R | W,Downtown N/Q trains are running with delays while we address a signal problem on the Manhattan Bridge.,"Some Coney Island-Stillwell Av-bound N/Q trains are running on the R line from Canal St to DeKalb Av. 

Listen for announcements to hear how your train will run. 

Expect delays in R/W service while they share the tracks with rerouted trains"
481248,235723,1,1/29/26,NYCT Subway,delays,R,Uptown R trains are running with delays after we moved a train that had its brakes activated at Court St.,Uptown R trains have resumed making scheduled stops.
481224,235715,1,1/29/26,NYCT Subway,stops-skipped,M | R,Forest Hills-71 Av-bound M/R trains are running express from Jackson Heights-Roosevelt Av to Forest Hills-71 Av.,"What's Happening?
We are requesting EMS assistance for a person in need on a train at Forest Hills-71 Av.

For service to/from bypassed stations, take a downtown M/R train."
481231,235715,2,1/29/26,NYCT Subway,delays,M | R,M/R trains are running with delays in both directions after EMS assisted someone in need on a train at Forest Hills-71 Av,Forest Hills-71 Av-bound M/R local service has resumed in Queens.
480911,235554,0,1/29/26,NYCT Subway,reroute | delays,Q | R | W,"R trains are rerouted via the Q line in both directions between Canal St and DeKalb Av.

W trains are delayed in both directions.","What's Happening?

We've requested EMS assistance for someone in need at Canal St.

Expect delays in Q service while they share the tracks with rerouted trains."
